TAS Agency,TAS Major Program,TAS Sub Program,Department ID,Department Name,Contracting Agency ID,Contracting Agency Name,Contracting Office ID,Contracting Office Name,Contracting Office Region,PIID,Modification Number,Transaction Number,Referenced IDV PIID,Date Signed,Effective Date,Completion Date,Est. Ultimate Completion Date,Last Date to Order,Funding Agency ID,Funding Agency Name,Funding Office ID,Funding Office Name,Product or Service Code,Product or Service Description,NAICS Code,NAICS Description,Description of Requirement,Principal Place of Performance County Name,Principal Place of Performance Location Name,Principal Place of Performance State Code,Congressional District - Place of Performance,Principal Place of Performance Zip Code,Principal Place of Performance Country Name,Country of Origin,Extent Competed,Reason Not Competed,Solicitation Procedures,Type of Set Aside,Statutory Exceptions to Fair Opportunity,Type Of Contract Pricing,Award Type,Reason For Modification,DUNS Number,Vendor Name,Vendor Address Line 1,Vendor Address Line 2,Vendor Address City,Vendor Address State Name,Vendor Address Zip Code,Vendor Address Country Name,Vendor Congressional District,Is Vendor Business Type - 8(a) Firm,Is Vendor Business Type - 8a Joint Venture,Is Vendor Business Type - HUBZone Firm,Is Vendor Business Type - SDB Concern,Is Vendor Business Type - Self-Certifed Small Disadvantaged Business,Is Vendor Business Type - Veteran Owned,Is Vendor Business Type - Service Disabled Vet,Is Vendor Business Type - Women Owned,Is Vendor Business Type - Minority Owned Business,Is Vendor Business Type - Asian Indian,Is Vendor Business Type - Asian Pacific,Is Vendor Business Type - Black Owned,Is Vendor Business Type - Hispanic Owned,Is Vendor Business Type - Native American,Is Vendor Business Type - Other Minority Owned,Is Vendor Business Type - Alaskan Native Owned Corporation or Firm,Is Vendor Business Type - American Indian,Is Vendor Business Type - Indian Tribe,Is Vendor Business Type - Native Hawaiian Owned Organization or Firm,Is Vendor Business Type - Tribally Owned,Is Vendor Business Type - Emerging Small Business,Contracting Officer's Business Size Determination,Number Of Offers Received,Number of Actions,Action Obligation,Base and Exercised Options Value,Base and All Options Value
,,,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,NO REGION IDENTIFIED,NNL09AA51T,11,0,NNL05AA01B,09/29/2016,09/29/2016,10/07/2011,10/07/2011,,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,AR16,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (MANAGEMENT/SUPPORT),541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES","EVALUATION OF HANDS-ON PROJECT EXPERIENCE (HOPE). THE 
PURPOSE OF THIS TASK ORDER IS TO PROVIDE TECHNICAL EXPERTISE AND LOGISTICAL SUPPORT TO THE SCIENCE OFFICE OF MISSION ASSESSMENTS (SOMA) AT NASA/LARC TO ASSIST SOMA IN THE EVALUATION OF HANDS-ON PROJECT EXPERIENCE (HOPE) PROPOSALS, AND TO PLAN AND IMPLEMENT PROGRAMMATIC REVIEWS OF THE SELECTED HOPE TEAM.  SAICS TECHNICAL SUPPORT WILL INCLUDE PARTICIPATION BY SAIC STAFF AND EXPERT CONSULTANTS, AS DIRECTED BY THE NASA TASK REQUESTER.",SAN DIEGO,SAN DIEGO,CA,52,921211522,UNITED STATES,UNITED STATES,FULL AND OPEN COMPETITION,,NEGOTIATED PROPOSAL/QUOTE,NO SET ASIDE USED.,,COST PLUS FIXED FEE,DELIVERY ORDER,OTHER ADMINISTRATIVE ACTION,078883327,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1710 SAIC DR,,MCLEAN,VIRGINIA,221023702,UNITED STATES,11,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,1,1,-$67.64,$0.00,$0.00
,,,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N68836,NAVSUP FLT LOG CTR JACKSONVILLE,NO REGION IDENTIFIED,N6883614C0039,P00003,0,,07/14/2016,10/01/2016,09/30/2017,09/30/2019,,1700,DEPT OF THE NAVY,N00204,NAVAL AIR STATION PENSACOLA,7630,NEWSPAPERS AND PERIODICALS,511110,NEWSPAPER PUBLISHERS,WEEKLY CIVILIAN ENTERPRISE NEWSPAPER,ESCAMBIA,PENSACOLA,FL,01,325025644,UNITED STATES,UNITED STATES,FULL AND OPEN COMPETITION,,NEGOTIATED PROPOSAL/QUOTE,NO SET ASIDE USED.,,FIRM FIXED PRICE,DEFINITIVE CONTRACT,EXERCISE AN OPTION,789255325,BALLINGER PUBLISHING,41 N JEFFERSON ST STE 402,,PENSACOLA,FLORIDA,325025644,UNITED STATES,01,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SMALL BUSINESS,1,1,$0.00,$0.00,$0.00
,,,6900,"TRANSPORTATION, DEPARTMENT OF",6901,IMMEDIATE OFFICE OF THE SECRETARY OF TRANSPORTATION,693JK4,OFFICE OF THE IMMEDIATE SECRETARY,NO REGION IDENTIFIED,DTOS5914A00012,3,,,09/07/2016,09/07/2016,,,09/16/2017,6901,IMMEDIATE OFFICE OF THE SECRETARY OF TRANSPORTATION,693JK4,OFFICE OF THE IMMEDIATE SECRETARY,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)","IGF::CT::IGF - CRITICAL FUNCTIONS

THE CONTRACTOR SHALL PROVIDE PROFESSIONAL SERVICES FOR   PERFORMANCE OF STRATEGIC PLANNING AND FACILITATION, HUMAN CAPITAL, PROGRAM AND PROJECT MANAGEMENT, HR SYSTEMS INFORMATION TECHNOLOGY SERVICES.",,,,,,,N/A,,,,,,FIRM FIXED PRICE,BPA,EXERCISE AN OPTION,808384205,"CNI TECHNICAL SERVICES, LLC",2600 JOHN SAXON BLVD,,NORMAN,OKLAHOMA,730711166,UNITED STATES,04,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,SMALL BUSINESS,0,1,$0.00,$0.00,$0.00
,,,1600,"LABOR, DEPARTMENT OF",1605,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT,1605DC,DEPT OF LABOR-OASAM-OFC  PROC SVCS,NO REGION IDENTIFIED,DOLOPS16U00032,1,0,DOLETA15A0004,07/08/2016,07/08/2016,02/28/2017,02/28/2017,,1637,OFFICE OF FEDERAL CONTRACT COMPLIANCE PROGRAM,1637DM,DEPARTMENT OF LABOR - OFCCP/DMAP,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,IGF::OT::IGF FUND REMAINING AMOUNT ON BASE YEAR CLIN 0001.,DISTRICT OF COLUMBIA,WASHINGTON,DC,00,202100001,UNITED STATES,UNITED STATES,FULL AND OPEN COMPETITION,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,FAIR OPPORTUNITY GIVEN,FIRM FIXED PRICE,BPA CALL,FUNDING ONLY ACTION,624105115,ASSOCIATED VETERANS LLC-QUALITY SOLUTIONS,10042 CEDAR SPRING LN,,CULPEPER,VIRGINIA,227018118,UNITED STATES,07,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SMALL BUSINESS,1,1,"$70,080.00",$0.00,$0.00
,,,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00189,NAVSUP FLT LOG CTR NORFOLK,NO REGION IDENTIFIED,N0018916P1116,0,0,,07/26/2016,07/26/2016,07/29/2016,07/29/2016,,1700,DEPT OF THE NAVY,N38305,NAVCONBRIG CHESAPEAKE,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING,GRAVEL MATERIAL,CHESAPEAKE CITY,CHESAPEAKE,VA,04,233227931,UNITED STATES,UNITED STATES,COMPETED UNDER SAP,,SIMPLIFIED ACQUISITION,SMALL BUSINESS SET ASIDE - TOTAL,,FIRM FIXED PRICE,PURCHASE ORDER,,079132014,ANIKE GROUP INCORPORATED,731 RUGBY ST STE 200,,NORFOLK,VIRGINIA,235041931,UNITED STATES,03,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SMALL BUSINESS,3,1,"$6,880.00","$6,880.00","$6,880.00"
,,,4700,GENERAL SERVICES ADMINISTRATION,4732,FEDERAL ACQUISITION SERVICE,47QFPA,GSA FAS AAS REGION 9,09,GS09Q14BHC0002,AO008,0,,08/15/2016,11/04/2013,03/27/2016,03/27/2016,,5700,DEPT OF THE AIR FORCE,EZ0007,EZ0007  HAMILTON SUNDSTRAND CORP,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,541512,COMPUTER SYSTEMS DESIGN SERVICES,PERFORMANCE MANAGEMENT LINE OF BUSINESS IGF::OT::IGF,DISTRICT OF COLUMBIA,WASHINGTON,DC,00,202500014,UNITED STATES,UNITED STATES,NOT AVAILABLE FOR COMPETITION,AUTHORIZED BY STATUTE,ONLY ONE SOURCE,NO SET ASIDE USED.,,FIRM FIXED PRICE,PURCHASE ORDER,CLOSE OUT,080139160,BUSINESS SOLUTIONS GROUP INC,1590 LANCASTER GRN,,ANNAPOLIS,MARYLAND,214016465,UNITED STATES,04,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,1,1,"-$50,000.00","-$50,000.00",$0.00
,,,7200,AGENCY FOR INTERNATIONAL DEVELOPMENT,7200,AGENCY FOR INTERNATIONAL DEVELOPMENT,720306,USAID/AFGHNISTAN,NO REGION IDENTIFIED,AID306C1400007,5,0,,09/29/2016,09/29/2016,10/11/2016,10/11/2016,,7200,AGENCY FOR INTERNATIONAL DEVELOPMENT,72000M,USAID M,AA91,R&D- AGRICULTURE: OTHER (BASIC RESEARCH),541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,"IGF::OT::IGF
REVISED THE PERIOD OF PERFORMANCE OF RADP-W CONTRACT FROM AUGUST 9, 2019 TO OCTOBER 11, 2016.",,,,,,AFGHANISTAN,UNITED STATES,FULL AND OPEN COMPETITION,,NEGOTIATED PROPOSAL/QUOTE,NO SET ASIDE USED.,,COST PLUS FIXED FEE,DEFINITIVE CONTRACT,OTHER ADMINISTRATIVE ACTION,867714768,"CHEMONICS INTERNATIONAL, INC",1717 H ST NW STE 1,,WASHINGTON,DISTRICT OF COLUMBIA,200063900,UNITED STATES,00,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,3,1,$0.00,$0.00,$0.00
,,,9700,DEPT OF DEFENSE,2100,DEPT OF THE ARMY,W912EF,W071 ENDIST WALLA WALLA,NO REGION IDENTIFIED,W912EF10C0011,P00015,6,,07/12/2016,06/30/2016,02/04/2019,02/04/2019,,96CE,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,W912EF,Walla Walla,S112,UTILITIES- ELECTRIC,221122,ELECTRIC POWER DISTRIBUTION,"RECOVERY, ARRA PORTION NO ACTION ON THIS PART OF CONTRACT",SPOKANE,SPOKANE,WA,05,992247435,UNITED STATES,UNITED STATES,FULL AND OPEN COMPETITION,,NEGOTIATED PROPOSAL/QUOTE,NO SET ASIDE USED.,,FIRM FIXED PRICE,DEFINITIVE CONTRACT,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,008958274,INLAND POWER & LIGHT CO.,10110 W HALLETT RD,,SPOKANE,WASHINGTON,992247435,UNITED STATES,05,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,1,1,$0.00,$0.00,$0.00
11,8242,,9700,DEPT OF DEFENSE,2100,DEPT OF THE ARMY,W91CRB,W6QK ACC-APG,NO REGION IDENTIFIED,0004,1,3,W91CRB16D5004,06/20/2016,06/20/2016,01/12/2017,01/12/2017,,2100,DEPT OF THE ARMY,W56RTN,W4GV USA HQ COMM ELECT CMD,5895,MISCELLANEOUS COMMUNICATION EQUIPMENT,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,THIS MODIFICATION 01 OF DELIVERY ORDER 0004 IS HEREBY TO AMEND PRON J56SAU071G DUE TO THE FUNDS ON THIS DELIVERY ORDER ARE NOT RECOVERY FUNDS.  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,MONROE,ROCHESTER,NY,25,146101839,UNITED STATES,UNITED STATES,NOT COMPETED,ONLY ONE SOURCE - OTHER ,ONLY ONE SOURCE,NO SET ASIDE USED.,,FIRM FIXED PRICE,DELIVERY ORDER,OTHER ADMINISTRATIVE ACTION,002204600,HARRIS CORPORATION,1680 UNIVERSITY AVE,,ROCHESTER,NEW YORK,146101839,UNITED STATES,25,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,1,1,$0.00,$0.00,$0.00
11,8242,,9700,DEPT OF DEFENSE,2100,DEPT OF THE ARMY,W91CRB,W6QK ACC-APG,NO REGION IDENTIFIED,0004,0,3,W91CRB16D5004,06/16/2016,06/16/2016,01/12/2017,01/12/2017,,2100,DEPT OF THE ARMY,W56RTN,W4GV USA HQ COMM ELECT CMD,5895,MISCELLANEOUS COMMUNICATION EQUIPMENT,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,THE PURPOSE OF ESTABLISHING DELIVERY ORDER 0004 IS TO PROCURE A TOTAL OF FOUR ARC-201E RADIOS.  A QUANTITY OF 2 IS NEEDED FOR AIRWORTHINESS TRAINING/ACCEPTANCE.,MONROE,ROCHESTER,NY,25,146101839,UNITED STATES,UNITED STATES,NOT COMPETED,ONLY ONE SOURCE - OTHER ,ONLY ONE SOURCE,NO SET ASIDE USED.,,FIRM FIXED PRICE,DELIVERY ORDER,,002204600,HARRIS CORPORATION,1680 UNIVERSITY AVE,,ROCHESTER,NEW YORK,146101839,UNITED STATES,25,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,1,1,"$212,532.00","$212,532.00","$212,532.00"
