Shorthand,PNO,Former PNO,Service Branch,Program type,Prime contractor 1,Prime contractor 2,Key contractors according FPDS,Key contractors according to direct sources,URL
F-35,198,,DoD-wide,Fixed Wing,Lockheed Martin,,"Pratt and Whitney (UTC), General Electric/Rolls-Royce, BAE, Rockwell Collins, Boeing, Northrop Grumman",,
F-35 Aircraft,,,,,,,,,
F-35 Engine,,,,,,,,,
FAB-T,199,,Air Force,,Boeing,,               ,,
FBCB2,294,,Army,,Northrop Grumman,,DRS ,,
FCS,301,,Army,,Boeing,SAIC,"BAE, General Dynamics",,
FMTV,746,,Army,Vehicle,Oshkosh (2011),,"BAE, Cummins, ",,
GBS,237,,Air Force,,Raytheon,,"BAE, Booz Allen Hamilton",,
GCSS Army,347,,,,Northrop Grumman ,,,,
GMLRS,260,,Army,Munitions,Lockheed Martin,,"Titan Dynamics Systems, Honeywell",,
GPS IIIA,292,,Air Force,,Lockheed Martin,,"ITT, General Dynamics, SNECMA (SAFRAN), CFM, General Electric",,http://www.lockheedmartin.com/products/GPS/index.html
H-1 Upgrades,101,,Navy,Helicopter,Bell Helicopter (Textron),,"Thales, Boeing, Lockheed Martin, AT&T, General Electric",,
HC/MC-130 RECAP,257,,,,,,,,
HIMARS,367,,Army,,Lockheed Martin,,"Harris, L-3",,
HLR,,,,,Sikorsky Aircraft Corporation (UTC),,,,
HPCM,352,,,Electronic,Various,,"AT&T, Microsoft","Lockheed Martin, Verizon, numerous others, highly diversified ","See: http://www.hpcmo.hpc.mil/index.php  High Performance Computing Modernization Program Office HPCM Director Cray Henry, Phone: 703-812-4400"
IAMD,205,,Army,,"Northrop Grumman, Raytheon, DMD",,,Raytheon,
IDECM,419,103,Navy,,BAE,,"Lockheed Martin, Boeing, L-3, Northrop Grumman, Honeywell, Rockwell Collins, General Electric, Hamilton Sundstrand (UTC), ITT",,http://www.defenselink.mil/contracts/contract.aspx?contractid=4008
IDECM Split,,,,,,,,,
IDECM Split,,,,,,,,,
JASSM,555,,Air Force,,Lockheed Martin,,L-3,,
JASSM Split,,,,,,,,,
JASSM Split,,,,,,,,,
JAVELIN,,,,,Lockheed Martin & Raytheon Javelin JV,,,,
JCA,183,,Army,Fixed Wing,L-3 Communications ,,"Alenia (Finmeccanica), Boeing",,
JCM,370,,Army,,Lockheed Martin,,,,
JDAM,503,,Air Force,Munitions,Boeing,,"ATK, General Dynamics",,
JDAM JPATS,,,,,,,,,
JHSV,247,,Navy,,Austal,,,General Dynamics,
JLENS,372,,Army,Electronic,Raytheon,,Northrop Grumman,,
Joint MRAP,353,,Navy,Vehicle,"Oshkosh, BAE, Force Protection Industries, General Dynamics, NAVISTAR Defense",,"BAE, Navistar Defense (International), Force Protection Inc, General Dynamics, Oshkosh Truck",,
JPALS,238,,Navy,,Raytheon,,,,http://findarticles.com/p/articles/mi_m0EIN/is_1999_June_17/ai_54913399/
JPATS,560,,Air Force,,Hawker Beechcraft (Raytheon),,,,
JSIMS,339,,DoD-wide,,TRW Systems (Northrop Grumman),,,,
JSOW,766,,Navy,,Raytheon,,BAE,,
JSOW Split,,,,,,,,,
JSOW Split,,,,,,,,,
JTRS GMR,360,,DoD-wide,,Boeing,,"BAE, Lockheed Martin, ViaSat, General Dynamics, Harris, Thales, Raytheon",,
JTRS HMS,385,,DoD-wide,Electronic,General Dynamics,,"BAE, Rockwell Collins",,
JTRS NED,284,,DoD-wide,Electronic,Multiple,,"ITT, Booz Allen Hamilton, Raytheon, Harris, Thales",,
KC-130J,,,,,,,,,
KC-45A,387,,,Fixed Wing,EADS,,,,
KC-46A,,,,,,,,,
LAIRCM,357,,Air Force,Electronic,Northrop Grumman,,,,
LAND WARRIOR,,,Army,,General Dynamics,,,,
LCS,374,,Navy,Ship / Sub,"Lockheed Martin, Austal ",,"BAE, CSC",,
LCS (RDT&E),,,,,,,,,
LHA Replacement,333,,Navy,Ship / Sub,Northrop Grumman,,,,
LHD 1,,,,,Huntington Ingalls Industries (HII),,,,
LONGBOW APACHE,831,,Army,Helicopter,Boeing,Lockheed Martin,"Raytheon, Harris, General Dynamics, DRS, Boeing, Goodrich, Honewell","Honeywell, ATK, Lockheed Martin, Northrop Grumman, Raytheon","http://www.lockheedmartin.com/data/assets/Product_Card_Longbow.pdf, Hughes Helicopter was purchased by McDonnell Douglas from the Summa Corporation. In 1997 Boeing and MD merged."
LONGBOW HELLFIRE,,,,,Lockheed Martin and Northrop Grumman (JV),,,,
LPD 17,542,,Navy,Ship / Sub,Huntington Ingalls Industries (HII),,"BAE Systems, Northrop Grumman, Raytheon, CACI",,
LUH,182,,Army,,EADS,,,,
M1A2 ABRAMS UPGRADE,,,Army,,General Dynamics,,,,
MCS,,,,,,,,,
MH-60R,191,,Navy,Helicopter,Sikorsky Aircraft Corporation (UTC),Lockheed Martin - Avionics,"Raytheon, Harris, General Dynamics, DRS, Boeing, Goodrich, Honewell",,
MH-60S,282,,Navy,Helicopter,Sikorsky Aircraft Corporation (UTC),,"Harris, Sikorsky (UTC), L-3, CSC, General Electric, Kaman Aerospace, SAIC",,
MIDS JTRS,554,,DoD-wide,Electronic,BAE/Rockwell Collins JV,ViaSat/Data Link Solutions,"Northrop Grumman, Harris Corporation, BAE, Rockwell Collins, CSC, Euromids, Booz Allen Hamilton",,
MIDS-LVT,,,,,"MIDSCO (JV of Thomson CSF, GEC, Siemens, Italtel, Enosa)",,,,
MINUTEMAN III GRP,302,,Air Force,Missile,Boeing,,Hewlett Packard,,
MINUTEMAN III PRP,248,,Air Force,Missile,Northrop Grumman,,"ATK Aerospace, Pratt & Whitney (UTC), AM General, L-3, ITT, BAE",,http://www.defenselink.mil/contracts/contract.aspx?contractid=3626
MP RTIP,293,,Air Force,Electronic,Northrop Grumman,,Raytheon,,
MP RTIP (RDT&E),,,,,,,,,
MPS,394,,Air Force,Electronic,SAIC,,,"Air Force restructured MPS into two programs, Increments I-III and Increment IV MPS Increments I-III retained as ACATID, per April 15, 2008, USD(AT&L) memorandum and subsequently deletedfrom Air Force ACATID List as 90% complete. GIPT oversight responsibility redesignated, per April 24, 2009, USD(AT&L) memorandum. MPS Increment IV below MDAP threshold as a MAISACAT IAMprogram.",
MQ-1C GRAY EAGLE,,,,,,,,,
MQ-4C UAS BAMS,,,,,,,,,
MUOS,345,,Navy,,Lockheed Martin,,"Booz Allen Hamilton, Raytheon",,
NAS,537,,Air Force,"Christy Whitman
          Northrop Grumman Information Technology
          (571) 213-5302
          christine.whitman@ngc.com

          Juli Ballesteros, APR
          Northrop Grumman Information Technology
          (703) 556-2736
          juli.ballesteros@ngc.com",Unknown,,"Boeing, SAIC, Multimax Inc.","Lockheed Martin, Raytheon Technical Services, Parsons Infrastructure and Technology Group, Mitre Corporation, ITT Corporation",david.lankford@faa.gov : David Lankford FAA Acquisition and Management
NAVSTAR GPS,166,,Air Force,Electronic,Boeing,Lockheed Martin,"Raytheon, Northrop Grumman, Raytheon, SAIC, Rockwell Collins, L-3, Honeywell, AT&T, ARINC, Mantech, BAE, ",,http://www.boeing.com/defense-space/space/gps/docs/GPSIIF_overview.pdf
NAVSTAR GPS SPLIT,,,,,,,,,
NAVSTAR GPS SPLIT,,,,,,,,,
NESP,,,,,Raytheon,,,,
NMT,290,,Navy,Electronic,Raytheon,,Harris Corporation,,
NPOESS,239,,Air Force,,Northrop Grumman,,AMSEC LLC,,
P-8A,334,,Navy,Fixed Wing,Boeing,,"SNECMA (SAFRAN), CFM, General Electric, DRS",,
PATRIOT PAC-3,148,,Army,Munitions,Lockheed Martin,,Raytheon,,
PATRIOT/MEADS CAP,531,,Army,Munitions,MEADS International,,"MBDA, LFK, EADS",,
PATRIOT/MEADS CAP SPLIT,,,,,,,,,
PATRIOT/MEADS CAP SPLIT,,,,,,,,,
MQ-1 PREDATOR,271,,Air Force,Fixed Wing,General Atomics Aeronautical Systems,,,,
MQ-9 REAPER,424,,Air Force,,General Atomics Aeronautical Systems,,,,
RMS,286,,Navy,,Lockheed Martin,,Lockheed Martin,,
RQ-4 GLOBAL HAWK,252,,Air Force,,Northrop Grumman,,Rolls-Royce,,
SADARM,,,,,,,,,
SBIRS,210,,Navy,,Lockheed Martin,,"Northrop Grumman, SAIC",,
SBSS B10,328,,Navy,,Boeing,"Ball Aerospace & Technologies Corp, Harris IT Services, MIT/Lincoln Labs, Orbital Sciences Corporation",Boeing,,
SDB I,354,,Air Force,Munitions,Boeing,,Raytheon,,
SDB II,,,,,,,,,
SM-2,,,,,Raytheon,,,,
SM-6,391,,Navy,,Raytheon,,,,
SMART-T,,,,,,,,,
SSDS,,,,,Raytheon,,,,
SSGN,,,,,General Dynamics ,,,,
SSN 774,516,,Navy,Ship / Sub,General Dynamics ,Northrop Grumman,"Lockheed Martin, Goodrich, Perot Systems",,
STRYKER,299,,Army,AFV,General Dynamics ,,"Kongsberg, BAE, Raytheon, Millenworks, Inc., Harris, Hamilton Sunstrand (UTC), Oshkosh",,
T-45TS,,,,,,,,,
TACTICAL TOMAHAWK,289,,Navy,Munitions,Raytheon,,"Lockheed Martin, Northrop Grumman, Honeywell",,
T-AKE,592,,Navy,,General Dynamics (NASSCO),,CSC,,
TITAN IV,3CPA,,,,,,,,
TRIDENT II,178,,Navy,Missile,Lockheed Martin,,"General Dynamics, BAE, Northrop Grumman, Boeing, ITT, ATK, Battelle, Verizon, EDS, IBM, LMI, Diebold (UTC)",,
TSAT,382,,Air Force,,Lockheed/Boeing,,,,
UH-60M,,,,,,,,,
UH-60M Black Hawk Upgrade,341,,Army,Helicopter,Sikorsky Aircraft Corporation (UTC),,"BAE, Rockwell Collins, Goodrich,Textron, General Electric, Martin Baker",,
V-22,212,,Navy,Fixed Wing,Bell Helicopter (Textron),Boeing,"Raytheon, BAE, Allison Engine, Northrop Grumman",,
VH-71,392,,Navy,Helicopter,Lockheed Martin,,Agusta-Westland,,
VTUAV,253,,Navy,,Northrop Grumman,,Raytheon,,
WGS,326,,Air Force,,Boeing,,,,
WIN-T Increment 1,346,,Army,,General Dynamics,,Lockheed Martin,,
WIN-T Increment 2,349,,Army,,General Dynamics,,Lockheed Martin,,
WIN-T Increment 3,350,,Army,,General Dynamics,,Lockheed Martin,,
